, Hermione
Charm, Did
Chocolate, Frogs
Christmas, Ron
Class, dismissed
Clearly, something
Clever, girl
Cloak, Hermione
Cloaked, in
Close, your
Club, Hermione
Codswallop, Professor
Colin, saw
Collect, your
Come, on
Committee, for
Common, Room
Concentrate, Explore
Cook, The
Cool, Hermione
Copy, off
Cornelius, Hagrid
Could, I
Couldnt, you
Counted, em
Course, youll
Crabbe, Run
Creatures, that
Creevey, Wow
Cricket, youre
Crikey, but
Crockford, Mr
Crookshanks, Ill
Crowd, Go
Cup, Not
Curious, very
Curiously, long
Curse, Harry
D, Dementor
DUNGEON, Thought
Dad, Harry
Daddys, gone
Dangerous, Creatures
Dark, Tower
Darn, good
Dead, I
Dean, Thats
Dear, dear
Death, A
Decree, for
Dededede, Hagrid
Deep, breaths
Defense, Against
Delicious, Hermione
Dementor, Hermione
Dementors, Kiss
Department, was
Determination, resourcefulness
Di, did
Diagon, Alley
Diary, Tom
Did, not
Didnt, make
Dippet, had
Dismal, Once
Disposal, of
Divination, No
Divinations, a
Do, I
Dobby, Mm
Dobbys, Reward
Does, that
Dont, worry
Doris, Crockford
Down, Ripper
Dozed, off
Draco, Malfoy
Draconis, Follow
Dracos, fathers
Dragon, Blood
Draught, of
Drinking, the
Dry, up
Duck, Hermione
Dudders, Is
Dudley, Ill
Dudleys, second
Dueling, Club
Dufftown, Thats
Dumbledore, has
Dumbledorell, be
Dumbledores, furious
Dursley, you
Dursleys, Itll
E, Hermione
Each, as
Earlier, it
Earwax, Harry
Easy, Wood
Eat, this
Egypt, Whats
Egyptians, used
Eh, Mr
Elephant, skin
Elixir, to
Enemies, of
Enough, talk
Er, I
Erised, I
Ern, Shrunken
Ernie, Tom
Err, yes
Especially, after
Essential, bit
Even, they
Every, minute
Everyone, Fred
Everyones, to
Everythings, there
Everywhere, else
Ew, Troll
Exactly, how
Excellent, I
Except, your
Excuse, me
Expect, Lupin
Expecto, Patronum
Expelled, Today
Expelliarmus, Hermione
Explain, yourselves
Explore, your
Exumai, Ron
Eye, Only
Eyed, Witch
Eyes, like
F, fearfully
Face, your
Facts, and
Famous, fire
Fang, Draco
Far, away
Fast, and
Fat, Lady
Father, said
Fawkes, to
Feathers, Oliver
Female, Student
Few, knew
Fiends, Flamel
Filch, is
Filchs, office
Finally, the
Fine, See
Finger, That
Finish, that
Fire, Youre
Firebolt, Its
Firenze, Harry
First, year
Five, points
Flamel, hell
Flavor, Beans
Flavour, Beans
Flint, Marcus
Flitch, Last
Flitwick, The
Flourish, and
Fluffy, Hehe
Fluffys, guarding
Flying, to
Follow, me
Fool, Get
For, me
Forbidden, Forest
Forest, Why
Forget, about
Forgetfulness, Potion
Form, a
Fortuna, Major
Fortunately, Im
Fraid, I
Fred, You
FredGeorge, Did
Frogs, Harry
Fudge, Right
Funny, the
Furthermore, the
GRYFFINDOR, Fred
Gambling, their
Gather, round
George, Oh
Get, off
Ghost, 
Ghosts, Merry
Gift, Hagrid
Gilderoy, Your
Ginny, The
Girl, Hufflepuff
Girls, Bathroom
Give, it
Glad, were
Glass, Dudley
Go, on
Goblin, Very
God, this
Godric, Gryffindor
Going, to
Golden, Snitch
Good, night
Goodbye, friend
Goodness, me
Gorgeous, Ron
Got, himself
Goyle, Hermione
Granger, You
Grangers, done
Grave, danger
Great, Now
Green, Thats
Grim, Harry
Grin, you
Grindelwald, in
Gringotts, Hagrid
Griphook, Stand
Gryffindor, As
Gryffindors, room
Guard, 
Guarding, something
Guys, let
HELP, Firenze
Ha, Another
Hagrid, Youll
Hagrids, hut
Hah, Theres
Haha, Bravery
Hall, Flitch
Hallo, Norbert
Halloween, Harry
Hang, on
Happy, Christmas
Harry, Lumos
HarrySeamus, Shes
Harrys, got
Has, this
Hassah, Open
Hat, place
Have, you
Havent, I
He, will
Head, Boy
Headed, Sentinel
Headless, Nick
Headmaster, youve
Heads, Thick
Hear, what
Heart, of
Hed, kill
Hedwig, Fudge
Heh, Harry
Hehe, Hallo
Heheh, Hagrid
Heir, of
Helga, Hufflepuff
Hell, conjure
Hello, Harry
Help, Harry
Her, skeleton
Here, we
Heres, your
Hermione, How
Hermiones, answered
Hes, free
Hesha, Hassah
Hey, Ron
Hi, Hedwig
Him, Ive
His, face
History, McGonagall
Hiya, Harry
Hmm, difficult
Hogsmeade, And
Hogwart, bell
Hogwarts, And
Hold, on
Holy, Cricket
Home, Harry
Honestly, Ron
Honeydukes, seller
Hooch, Gryffindor
Hope, you
Hornby, was
Horrors, your
House, it
Housekeeping, Ill
How, fast
However, the
Howler, Professor
Hows, that
Hufflepuff, Rowena
Hurry, up
I, didnt
IN, THE
Id, like
If, I
Ill, take
Im, used
Imagine, Professor
Immobulus, Hermione
Immortal, Hermione
In, fact
Incredible, Okay
Indeed, indeed
Inflamarae, Man
Inhuman, Voice
Inner, Eye
Innocent, blood
Interference, Overcome
Intriguing, isnt
Invisibility, Cloak
Irish, feller
Is, that
Isnt, he
It, was
Itd, be
Itll, just
Its, the
Ive, looked
James, and
Japanese, golfer
Jinxing, the
Johnson, scores
Joke, Shop
Just, make
Justin, mustve
Keep, trying
Keeper, of
Keeping, a
Key, please
Keys, Harry
Kill, him
Killing, Mudbloods
Kiss, Harry
Knicked, it
Knight, Bus
Knockturn, Alley
Know, Who
L, Bad
Lacarnum, Inflamarae
Lady, Eyes
Ladys, there
Lamp, please
Last, call
Later, perhaps
Leaky, Cauldron
Learned, what
Leave, him
Lee, Hes
Leg, Locker
Lemon, Polyjuice
Less, chattering
Let, the
Lets, go
Letters, from
Level, Harry
Levi, o
Levio, saaa
Levioooosa, not
Leviosa, Cool
Leviosaaaar, Shes
Leviosar, Ron
Levosa, Flitwick
Life, Voldemort
Like, James
Lily, and
Lilys, Yes
Listen, Harry
Little, lump
Live, off
Lived, Hagrid
Living, Death
Lo, lost
Loads, of
Locker, Curse
Lockhart, Amazing
Lockharts, memory
London, Shrunken
Longbottom, Neville
Look, Its
Looking, rather
Looks, more
Lord, You
Lose, yourself
Loss, of
Lost, your
Lots, to
Love, Harry
Loves, the
Lucius, Harry
Luckily, a
Lupin, Didnt
Lupins, having
M, might
MAID, Housekeeping
MOVE, Harry
Madam, Pomfrey
Madame, Sprout
Magic, Hogwarts
Magical, Creatures
Mails, here
Major, Fat
Make, way
Male, Student
Malfoy, Not
Malfoys, coming
Mams, a
Man, in
Mandrake, draught
Mandrakes, When
Many, Each
Map, Hermione
Marauders, Map
Marcus, A
Marge, Come
Marges, suitcase
Mark, my
Marvelous, Absolutely
Mason, Do
Masons, arrive
Master, you
Maybe, weve
McGonagall, gave
McGonagalls, worried
Me, Hes
Meanwhile, Id
Men, have
Mental, that
Merry, Christmas
Mhmm, Rosmerta
Mind, where
Minerva, Professor
Minister, I
Ministry, wasnt
Mirror, of
Mischief, managed
Miss, Granger
Missing, Harry
Mm, Right
Moaning, Myrtle
Molly, Quick
Mom, Seeing
Mommy, Good
Monday, morning
Moony, Wormtail
Morning, everyone
Mountain, Troll
Move, Hermione
Mr, Potter
Mrs, Moony
Ms, Granger
Much, worse
Mudblood, mother
Mudbloods, doesnt
Muggle, fathers
Muggles, They
Mum, Dad
Mummy, dad
Murmurs, Oliver
Must, Not
My, mothers
Myrtle, Ron
Mysterious, thing
N, not
Named, did
Nasty, little
Nearly, there
Never, mind
Nevertheless, I
Neville, Go
Nevilles, got
New, Seeker
Next, time
Nice, doggy
Nicholas, Petunia
Nick, Thank
Nicolas, Flamel
Nighty, night
Nimbus, s
No, one
Nobody, not
Nobodys, going
Non, magic
None, of
Nonsense, Why
Nope, I
Norbert, Dededede
Norberts, gone
Normally, I
Norris, Im
Norwegian, Ridgeback
Not, a
Nothing, Hermione
Now, since
Nox, Snape
Obliviate, Ron
Oculus, Reparo
Of, course
Off, a
Offend, Dobby
Oh, executioner
Ohh, Oooh
Okay, Fudge
Olive, Hornby
Oliver, I
Ollivander, Oh
Ollivanders, No
Ominous, Voice
On, the
Once, again
One, day
Only, one
Ooh, Harry
Oooh, ooh
Open, it
Or, Ill
Ordinary, Wizarding
Other, Now
Others, Its
Otherwise, hell
Ouch, Ron
Our, pain
Out, for
Over, there
Overcome, Harry
Ow, That
Owlery, sir
Owowowow, Hooch
Oy, What
P, potter
PANSY, Does
Pacing, George
Padfoot, and
Page, 
Painting, Shes
Parcels, Ron
Parselmouth, Lockhart
Parseltongue, If
Particularly, you
Parvate, Riddikulus
Parvati, Next
Password, Percy
Pathetic, Weve
Patil, said
Patronum, Harry
Patronus, before
Pea, soup
Peaky, What
Percy, Mind
Percys, rat
Perhaps, it
Peter, that
Petrified, will
Pettigrew, escaped
Pettigrews, alive
Petunia, Oh
Philosophers, Stone
Phoenix, tears
Pipes, Its
Pity, Broaden
Platform, 
Please, believe
Pleasure, You
Plenty, of
Polyjuice, Potion
Pomfrey, will
Poor, Professor
Potion, Harry
Potions, final
Potter, Harry
Potters, godfather
Powerful, and
Prefect, Ravenclaws
Prefects, will
Probably, a
Professor, Lupins
Professors, I
Prongs, offer
Properly, brewed
Proudest, moment
Pull, Ron
Put, that
Quaffle, Bletchley
Queen, to
Quick, Harry
Quickly, Hurry
Quidditch, tomorrow
Quiet, Let
Quirrell, couldnt
Quirrells, job
Quite, remarkable
RJ, Lupin
Ravenclaw, and
Ravenclaws, follow
Read, it
Really, Open
Red, hair
Relax, dear
Remarkable, feat
Remember, what
Remembrall, Hermione
Remus, Run
Reparo, Thats
Rescue, Vernon
Rescuing, you
Residents, McGonagall
Resigned, Why
Restricted, Section
Restriction, of
Reveal, your
Reversal, Department
Reward, Harry
Riddikulus, Right
Riddle, and
Ridgeback, My
Ridiculous, Welcome
Right, there
Ring, the
Ripped, to
Ripper, stop
Rippy, pippy
Rogue, bludger
Romania, Filch
Ron, No
Ronald, has
Rons, right
Room, 
Rosmerta, Peter
Rough, game
Round, up
Rowena, Ravenclaw
Rubbish, Ron
Rubeus, Hagrid
Run, Hermione
Runes, is
S, sit
SILLLLLEEENNNNCEEEEE, Everyone
SLYTHERIN, Ron
SNAKE, Dudley
Said, how
Salazar, Slytherin
Samnathas, Slithaeine
Saving, your
Saxon, word
Say, hello
Says, he
Scabbers, youre
Scar, 
Scared, Harry
School, stuff
Seamus, Yeah
Second, to
Secrets, Harry
Section, Its
Secure, the
See, you
Seeing, their
Seeker, who
Seemed, quite
Seems, to
Sentinel, Ron
Serpensortia, Snape
Serves, her
Sethae, He
Severus, please
Shack, arent
Shall, we
She, was
Shearhas, Samnathas
Sheffield, circling
Sherbet, Lemon
Shes, gone
Shh, Hermione
Shhh, Okay
Shoo, Go
Shop, We
Should, he
Shouldnt, have
Shove, off
Show, me
Shrieking, Shack
Shrunken, Heads
Shunpike, Take
Shut, the
Sight, Hello
Silence, I
Since, Professor
Sir, its
Siris, Its
Sirius, Hermione
Sit, down
Slithaeine, Speak
Slow, down
Slowly, now
Slytherin, Professor
Slytherins, noble
Smeltings, Vernon
Smeltona, Proudest
Snake, Thanks
Snape, telling
Snapes, coming
Snitch, Hooch
So, now
Some, of
Somebody, did
Someone, sees
Someones, obviously
Something, Hermione
Sorry, Were
Sorting, Hat
Spare, bit
Speak, to
Spells, enchantments
Spider, attack
Spiders, They
Sprout, has
St, Brutus
Stan, Shunpike
Stand, back
Standard, book
Station, Agent
Stay, together
Steady, Parvate
Step, up
Stick, your
Still, I
Stone, gone
Stop, Ive
Strange, Hermione
Strictly, speaking
Student, Good
Students, Good
Such, an
Suffice, it
Sun, Hermione
Sunday, Ha
Sunshine, daises
Supposed, to
Sure, Along
Surely, you
Susan, Bones
Sweet, girl
Sweetshop, is
Swish, and
Sya, hasi
T, TROOLLL
THE, DUNGEON
TROLL, IN
TROOLLL, IN
Taint, no
Take, a
Taking, form
Tasseomancy, the
Tch, tch
Teachers, will
Tell, me
Ten, nine
Terribly, funny
Thank, you
Thanks, Great
That, was
Thats, great
The, ones
Then, itll
There, you
Therefore, I
Theres, spiders
These, are
They, made
Theyd, know
Theyll, not
Theyre, going
Theyve, got
Thick, heads
Think, I
Thirteen, years
Thirty, six
This, came
Thomas, Now
Those, weasels
Thought, so
Three, turns
Time, Turner
To, the
Today, Harry
Todays, game
Together, Harry
Tokens, from
Tom, The
Tonight, he
Too, right
Touch, Voldemort
Tower, You
Train, will
Transformed, The
Trelawney, Tonight
Trevor, Sorry
Troll, bogies
Trolls, are
Try, again
Turn, me
Turner, Harry
Twelve, years
Twice, Hermione
Ugh, Harry
Uh, Not
Um, Well
Umm, no
Unable, to
Unavoidable, Uh
Uncle, Vernon
Under, the
Underage, wizards
Understand, Harry
Unicorn, blood
Unless, of
Unseen, Inhuman
Until, then
Up, up
Urgent, call
Use, your
Usually, just
V, Harry
Vanishing, Glass
Vault, 
Vengeance, is
Vera, Verto
Vernon, They
Verto, McGonagall
Very, well
Voice, Its
Voldemort, didnt
Voldemorts, powers
W, what
Wait, Ron
Wake, up
Wall, Ominous
Wand, at
Want, to
Warning, Vernon
Was, it
Waste, of
Watch, it
We, did
Weasle, Bee
Weasley, why
Weasleys, daughter
Wed, recommend
Welcome, my
Well, lets
Were, coming
Werent, you
Werewolf, man
Werewolves, Hermione
Weve, got
What, are
Whatever, shed
Whatre, you
Whats, he
When, we
Where, Dumbledore
Whereabouts, are
Wheres, Ron
Wherever, did
Whew, we
Which, memory
While, everyone
Whilst, youre
Who, was
Whoa, Buckbeak
Whoaa, Hagrid
Whod, be
Whomping, Willow
Whoo, hoo
Whooa, Hagrid
Whooaaa, Ooh
Whos, to
Why, do
Wicked, Malfoy
Will, you
Willow, and
Wingard, Levosa
Wingardium, Leviosa
Wingardrium, Leviosar
Winner, Dumbledore
Wish, you
Witch, passageway
Witchcraft, and
With, a
Without, wands
Witty, God
Wizard, Grindelwald
Wizarding, Level
Wizardry, As
Woke, up
Woman, Anything
Wonderful, wonderful
Wont, be
Wood, Ive
Woods, just
Words, and
Wormtail, Padfoot
Would, anyone
Wow, Can
Writing, on
Y, Yes
Yay, Flint
Yeah, lets
Yes, very
You, saved
Youll, see
Young, whippersnappers
Your, name
Youre, dying
Yours, Whod
Youve, been
Zonko, product
Zonkos, Joke
a, Firebolt
abilities, that
ability, to
able, to
abnormal, And
abnormally, large
aboard, Ron
about, Ron
absolutely, nothing
accepted, at
accident, Its
according, to
account, and
acknowledging, the
aconite, Well
across, the
act, Ill
action, Ron
actions, 
activities, a
actually, Harry
added, powdered
admirers, Harry
admitted, to
advanced, magic
adventure, ends
affairs, in
affect, you
afford, the
afraid, I
after, all
afternoon, Harry
again, sometime
against, the
age, Hermione
ago, Dumbledore
agreed, it
ahh, Dudley
aint, no
air, Ron
alchemist, who
alchemy, with
alert, Harry
alive, Hagrid
all, the
allowed, in
allows, the
almost, tore
alone, Get
along, and
already, risked
alright, Snape
also, killed
always, find
am, no
amazing, Just
among, the
amongst, the
amusing, Let
an, innocent
and, parents
angry, or
animal, A
animals, into
announce, that
annoyingly, close
another, Its
answer, my
answered, that
anti, cheating
antidote, to
anxious, to
any, difference
anybody, tell
anymore, For
anyone, understood
anything, it
anyway, that
anywhere, else
apology, Ron
appointment, of
appreciate, it
appropriate, action
are, you
area, of
arent, we
arm, I
arms, broken
around, the
arrested, actually
arrive, at
arrived, here
arriving, and
arrogant, strutting
arse, Harry
art, of
artifact, from
as, well
ascendare, Harry
ashamed, of
ask, you
asked, for
asking, me
asleep, Hermione
asphodel, and
assessment, Mr
assume, a
assumed, it
assure, you
assured, that
astonishing, powers
astounded, that
astronomy, tower
at, once
attack, Harry
attacked, a
attend, to
attention, please
aunt, and
aunts, On
aura, is
awaits, any
award, ten
awarded, and
awards, for
aware, of
away, Hermione
awful, Ron
b, bat
baby, with
back, I
backfired, He
bad, by
badly, wrapped
ball, Oliver
balls, This
barbaric, Ron
bare, hands
barely, stand
barrier, to
bat, McGonagall
bathroom, And
be, in
bear, to
beast, just
beasts, that
beaten, loads
beater, Uh
beaters, 
beating, people
beats, beneath
beautiful, isnt
beauty, in
became, the
because, well
become, killers
becomes, their
bed, Marge
bedroom, we
been, sacked
beetle, FredGeorge
before, I
befuddled, by
beg, you
began, to
begin, Good
begins, Lee
behalf, Besides
behave, Harry
behavior, reflect
behind, the
being, bitten
believe, me
believed, to
bell, Merry
belong, in
belongings, have
belongs, to
beneath, your
beside, you
besides, youre
best, friends
bet, Dumbledore
betray, my
betrayed, my
better, hurry
between, an
beware, Youll
bewitch, the
bewitched, with
beyond, the
bezoar, is
big, boys
bigger, than
biggest, deal
bird, you
birthday, Thats
bit, You
bitch, then
bite, I
bits, and
bitten, by
blabbing, and
blame, yourself
blames, you
blast, of
blasted, miserable
blew, into
blinded, the
blinking, Harry
bloke, who
blood, shall
bloodied, up
bloods, Unable
bloodthirsty, beast
bloody, hell
blow, her
blowing, up
blown, up
blows, through
bludger, Hermione
bludgers, are
boats, Come
bobs, for
body, I
bodys, gone
bogey, flavoured
boggart, The
bogies, McGonagall
book, waiting
booked, the
books, to
bored, If
boring, Harry
born, James
borns, in
borrow, Wood
bosom, is
boss, Cornelius
both, of
bottle, fame
bought, him
bound, to
bounds, to
bout, Fluffy
bow, Nice
bows, back
boy, Bless
boys, Harry
brain, Hermione
brainless, oaf
brandy, Oh
brave, Wand
bravery, to
breach, insist
break, free
breakfast, and
breaking, fifty
breaths, Its
brew, glory
brewed, the
brightest, witch
brilliant, Harry
bring, him
bringing, him
broaden, your
broke, the
broken, down
broom, in
broomstick, Is
brother, Percys
brought, here
brush, Crookshanks
brute, Hagrid
buggers, But
building, in
built, a
bumpkins, Its
bumpy, ride
buried, like
burn, anything
bursting, in
bus, or
business, to
but, you
butter, mellow
butterflies, Spider
buy, their
buying, their
by, now
bye, to
bylaws, Severus
calculations, are
call, for
called, the
calling, thick
calm, everyone
came, with
camera, or
can, somebody
cane, at
cannot, deny
cant, be
caps, and
capture, of
captured, Sirius
car, Whomping
cards, Pathetic
care, of
career, and
careful, Harry
cares, to
caretaker, Mr
carries, a
case, it
cases, Marge
cast, ourselves
castle, After
cat, killed
catch, you
catches, the
catching, the
cats, Ron
caught, fire
cauldron, and
cause, its
caution, Dementors
cease, to
ceiling, Its
celebrated, his
celebrity, Tell
cell, of
centuries, Ron
century, according
cept, perhaps
ceremony, will
certain, shall
certainly, kept
chamber, in
chance, of
change, Harry
charm, exists
charms, Otherwise
chasers, handle
chat, and
chattering, Form
cheating, spell
checked, this
cheek, Seamus
cheerful, again
chemistry, set
chess, that
chicken, PANSY
child, in
children, Harry
childs, voice
chime, If
chimney, stack
chocolate, Harry
choice, With
choices, If
choose, to
chooses, the
chop, it
chopped, off
chose, I
circling, a
circumstances, are
class, I
classes, Lupin
classmates, can
clean, it
cleaned, his
clear, too
clearing, of
clearly, in
cleave, Have
clever, enough
clipping, again
cloak, Dont
close, watch
closely, at
closer, eye
clothes, Can
cloud, Snape
clue, who
cockroach, Harry
coexisted, quite
coffee, boy
cold, as
colony, Hermione
come, Sirius
comes, and
comin, back
coming, Ive
command, But
committee, members
common, garden
complete, In
completely, undetected
complicated, Lupin
compliments, to
concern, is
concerns, about
conclusion, Now
condemned, shall
condition, This
conductor, for
confidant, enough
confiscated, a
conjure, the
conjured, the
conjures, one
conjuring, the
consented, to
consequences, are
consider, you
contact, I
contraction, of
control, Ron
conveniently, enough
convince, few
convinced, the
cook, the
cool, use
copying, this
corners, in
correct, I
correctly, Mr
corridor, immediately
corridors, at
could, do
couldnt, do
couldve, lost
count, Tom
counter, curse
countercurse, that
country, someplace
couple, Siris
courage, I
course, Harry
cousin, Were
cover, up
coward, cut
cozy, Hermione
crackpot, old
crash, kill
crazy, And
creature, who
creatures, to
credit, for
crikey, Fudge
crime, to
cross, Thats
crossed, his
crucial, ingredients
cruel, that
crying, and
crystal, gazing
cubicle, Id
cup, of
cure, her
curious, artifact
currently, in
curse, Hermione
cursed, life
custard, tart
cut, it
dad, I
dads, Dead
daises, butter
damage, a
dance, Harry
danger, Harry
dangerous, Sirius
dare, you
dark, You
darkest, omens
darkness, Harry
darling, boy
darn, door
daughter, was
daughters, do
day, perhaps
dead, ferret
deadly, and
deaf, Put
deal, of
dear, Dumbledore
dears, Ron
death, Ron
decent, wizards
decide, where
decided, your
decision, of
deckers, at
decoration, is
deep, within
deepest, ocean
defeat, the
defender, A
defending, the
defends, the
definitely, not
delicious, looking
delighted, to
delights, of
deliver, these
demand, that
dementor, Lupin
dementors, go
denied, Ron
deny, the
departing, he
description, about
deserve, it
deserved, what
designed, to
desire, I
desires, of
desk, by
desperate, desires
desperately, cleave
destined, for
destroyed, him
detect, a
detention, Dumbledore
determine, the
detours, If
developed, a
devil, hes
devising, a
diary, preserving
did, you
didnt, mean
die, tonight
died, rather
dies, with
difference, If
different, home
difficult, not
dinner, Lockhart
direct, path
directly, at
dirt, on
dirty, coward
disappointing, Hermione
disarm, only
discipline, Now
discourage, me
discover, if
discovered, the
discovery, of
discuss, If
dismissed, Malfoy
dispatch, Harry
dispatched, immediately
dispose, of
disposition, as
disquieting, note
disregard, for
disrupt, our
distinguish, between
distraught, But
diversion, so
divulging, what
do, it
does, Im
doesnt, deserve
dog, In
doggy, Snape
dogs, Wait
doing, Hermione
donate, it
done, it
dont, settle
door, Go
doors, Itll
doorstep, Is
dormitories, at
dormitory, and
double, deckers
doubt, I
down, by
dozen, school
dragon, are
dragons, are
draught, will
dreadful, It
dream, home
dreams, we
drink, your
drinker, to
drinking, its
driven, out
driver, Eat
drop, of
dropped, this
drunk, Marge
dry, as
dumb, luck
dumped, on
dung, beetle
dungeon, he
dungeons, headmaster
during, the
duty, to
dwell, on
dyeing, it
dying, both
e, eh
each, full
earlier, It
early, for
earn, you
earth, They
easily, offended
easy, part
eat, this
eaters, th
eats, you
eh, Are
eight, seven
either, But
elects, to
elephant, Seamus
eleven, now
elf, shows
else, McGonagall
em, Nobody
emergency, transport
emphasis, on
emptied, earlier
enchantments, Hagrid
end, of
ended, up
ends, here
enemies, but
enemy, Quirrell
enjoyable, Parvati
enjoyed, himself
enjoying, himself
enough, on
ensnare, the
ensure, it
enter, a
entering, Hagrid
entertain, today
entirely, our
entrance, Seamus
enunciate, Wingardium
equal, Harry
equipment, Harry
equipped, with
escape, Stan
escaped, Lupin
especially, when
essay, Lupin
essential, in
even, know
evening, Hagrid
events, must
ever, wanted
every, other
everybody, knows
everyone, would
everyones, looking
everything, Hermione
everythings, prepared
everywhere, would
evidence, to
evil, little
exact, art
exactly, Well
exam, Ron
example, Oculus
exams, coming
exceedingly, arrogant
excellent, feast
except, you
excuse, us
executed, this
execution, shall
executioner, your
exist, Vernon
existence, belongs
exists, to
expect, youre
expected, more
expecting, uh
expel, us
expelled, Harry
experiences, You
expert, Harry
expertise, Harry
explain, Uh
explains, the
explore, the
exposure, of
expressed, concerns
extended, again
extra, care
extraordinarily, like
extraordinary, Hagrid
extremely, foolish
eye, on
eyebrows, have
eyes, Siris
face, Trelawney
faces, They
facing, that
fact, more
facts, You
fainted, I
faintest, idea
fair, few
faithful, servant
fall, over
fame, isnt
familiar, I
families, In
family, for
famous, Harry
fancies, her
fanmail, Hermione
far, from
fascinating, subject
fashioned, myself
fast, is
faster, Come
fastest, broom
fat, arse
fate, It
father, Except
fathers, furious
fault, Professor
fear, Oh
feared, Dumbledore
fearfully, fascinating
fears, the
fearsome, beasts
feast, First
feat, dont
feather, over
feathers, And
feed, on
feeding, on
feel, sure
feeling, every
feet, George
fell, your
feller, I
felt, good
ferret, Come
few, others
field, to
fifty, years
fight, them
fill, you
filthy, little
final, word
finally, it
find, them
finds, me
fine, Go
finest, headmaster
finger, Nothing
finish, what
finished, it
finishes, a
fire, and
fired, Hermione
firm, grip
firmly, on
first, term
fit, or
fits, Ron
fitting, that
five, minutes
fix, it
fixed, the
fixing, it
flashing, that
flavored, one
flavour, Theres
flavoured, one
fleas, theyre
flee, before
flesh, Harry
flick, Ron
flicker, of
flobberworm, Anything
floor, corridor
floors, clear
flouted, the
fly, Uh
flying, 
focus, on
folk, This
follow, me
followed, by
followers, brought
food, off
fool, Siris
fooled, While
foolish, thing
foot, in
for, now
forbidden, Harry
force, For
forehead, Harry
forest, Harry
forever, grateful
forget, the
forgetting, one
forgiving, But
forgot, Hermione
forgotten, how
fork, they
form, signed
formidable, that
forth, I
fortunate, you
forward, to
fought, against
foul, loathsome
foulest, creatures
found, him
founded, over
founders, coexisted
four, three
fours, Back
fourth, place
framed, him
frankly, I
fraud, Youve
freak, And
freaky, friends
free, We
fresh, meat
fret, The
friend, Have
friendly, Boys
friends, to
frightens, all
frogs, are
from, a
front, of
fry, up
full, of
fully, grown
funny, Ron
furious, As
further, notice
fuss, Petunia
future, Hagrid
gain, your
game, of
gamekeeper, back
garden, rat
gateways, sealed
gather, some
gave, it
gazing, is
gears, jammed
gentlemen, Dumbledore
get, it
gets, in
getting, to
ghastly, to
ghost, Riddle
ghosts, professor
giant, spectral
gift, from
gifted, witch
girl, Surely
girls, bathroom
give, me
given, your
gives, a
giving, this
glad, to
glass, of
glasses, in
glide, over
glory, and
gloves, Hagrid
go, Harry
goat, and
goblets, Like
goblins, while
godfather, Harry
goes, Harry
going, to
gold, and
golfer, joke
gone, mad
gonna, get
good, brilliant
goodbye, Harry
goodness, sake
gosh, sake
got, the
gotta, tell
governors, learned
graciously, to
grand, for
grandmother, Neville
grandmothers, clothes
grass, to
grateful, for
grave, peril
great, deal
greater, than
greatest, of
greatness, sir
gredient, McGonagall
grip, Vernon
ground, while
grounds, Dumbledore
group, over
grow, What
growing, up
grown, back
grows, weaker
growth, of
guard, the
guardian, can
guarding, on
guards, of
guess, as
guesses, who
guessing, Snape
guilt, whatsoever
guilty, Severus
guys, Dont
h, he
habit, Lupin
had, already
hadnt, caught
hair, looks
half, two
